Fecha,Nombre_hospital,Institucion,Estatus_capacidad_hospitalaria,Estatus_capacidad_UCI,Coordenadas
2020-04-14,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-14,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,Media,Media,"19.361675,-99.224432"
2020-04-14,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Media,Crítica,"19.369978,-99.15587"
2020-04-14,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Crítica,Crítica,"19.454776,-99.140007"
2020-04-14,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-14,HOSPITAL GENERAL REGIONAL 72,IMSS,,,"19.542797,-99.205022"
2020-04-14,HOSPITAL GENERAL REGIONAL 196,IMSS,,,"19.529016,-99.030983"
2020-04-14,HOSPITAL GENERAL REGIONAL 220,IMSS,,,"19.283056,-99.63953"
2020-04-14,HR BICENTARIO DE LA INDEPENDENCIA,ISSSTE,Buena,Media,"19.628814,-99.163343"
2020-04-14,HG TOLUCA,ISSSTE,Crítica,Media,"19.256918,-99.635872"
2020-04-14,ALTA ESPECIALIDAD DE IXTAPALUCA,EDOMEX,Buena,Buena,"19.319081,-98.855395"
2020-04-14,CENTRO MÉDICO TOLUCA ISSEMYM,EDOMEX,Crítica,Media,"19.286408,-99.586018"
2020-04-14,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,,Crítica,"19.272268,-99.660899"
2020-04-15,HOSPITAL DE ESPECIALIDADES DE LA CIUDAD DE MÉXICO DR BELISARIO DOMÍNGUEZ,SEDESA,Media,Media,"19.307226,-99.065356"
2020-04-15,HOSPITAL GENERAL DE ZONA 01 CARLOS MC GREGOR (CDMX SUR),IMSS,Buena,Media,"19.395912,-99.16161"
2020-04-15,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Crítica,Crítica,"19.454776,-99.140007"
2020-04-15,HR BICENTARIO DE LA INDEPENDENCIA,ISSSTE,Buena,Buena,"19.628814,-99.163343"
2020-04-15,ALTA ESPECIALIDAD DE IXTAPALUCA,EDOMEX,Buena,Buena,"19.319081,-98.855395"
2020-04-15,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,,,"19.272268,-99.660899"
2020-04-15,HOSPITAL JUÁREZ,SSA,,Buena,"19.481829,-99.135576"
2020-04-15,HOSPITAL PEDIÁTRICO LA VILLA,SEDESA,Media,Crítica,"19.487355,-99.114316"
2020-04-15,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI,IMSS,Crítica,Crítica,"19.466549,-99.145102"
2020-04-15,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Media,Crítica,"19.369978,-99.15587"
2020-04-15,HOSPITAL DE INFECTOLOGÍA 01 LA RAZA (CDMX NORTE),IMSS,Buena,Media,"19.465067,-99.144881"
2020-04-15,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Buena,Crítica,"19.307964,-99.130677"
2020-04-15,HOSPITAL GENERAL REGIONAL 72,IMSS,,,"19.542797,-99.205022"
2020-04-15,HOSPITAL GENERAL DE ZONA 194,IMSS,,,"19.4703,-99.234208"
2020-04-15,HG DARIO FERNANDEZ FIERRO,ISSSTE,Buena,Media,"19.363602,-99.188608"
2020-04-15,HG JOSÉ MARÍA MORELOS,ISSSTE,,Crítica,"19.363918,-98.995393"
2020-04-15,HG DR FERNANDO QUIROZ,ISSSTE,,Crítica,"19.394242,-99.194187"
2020-04-15,HG IGNACIO ZARAGOZA,ISSSTE,,Buena,"19.389472,-99.045019"
2020-04-15,HG TOLUCA,ISSSTE,Crítica,Media,"19.256918,-99.635872"
2020-04-15,ALTA ESPECIALIDAD DE ZUMPANGO,EDOMEX,Media,Media,"19.815464,-99.089197"
2020-04-15,HOSPITAL REGIONAL TLANEPANTLA ISSEMYM,EDOMEX,,Media,"19.319081,-98.855395"
2020-04-16,HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,SSA,Crítica,Crítica,"19.410839,-99.151941"
